reviewContent,ground_truth_aspects
"আলহামদুলিল্লাহ, প্রোডাক্টটি অনেক ভালো! সাউন্ড চেক করে দেখলাম অনেক ভালই! আপনার চোখ বন্ধ করে ভরসা করে নিতে পারেন! প্রোডাক্টটি যখন আমার হাতে এসেছিল তখন ইনটেক ছিল!","product, packaging"
"অসাধারণ একটা প্রডাক্ট হাতে পেলাম,সত্যিই অসাধারণ একটা জিনিস, ধন্যবাদ এটির সেলার কে ও দারাজ কে এমন একটা প্রডাক্ট আমার হাত পর্যন্ত পৌছানোর জন্য। আরেকটা বিষয় ভালোলেগেছে যে প্রডাক্ট টা সম্পুর্ন টাই ইনটেক অবস্থায় ছিলো যা খুবই চমৎকার,,, এখন বাকি টা সার্ভিস কেমন দেই এটাই দেখার বিষয় 🙂","product, seller, packaging"
আসা করি যে ভালো হবে কিন্তু অনেক ভালো ছিল চালে নিতে পারেন যে রকম কথা ছিল সেই রকম দিসে ধ্যনবাদ দারাজ এবং সেলার ,"product, seller"
"যেমন ওর্ডার করেছি তেমন পেয়েছি,প্যাকেটিং ভালো ছিলো, ইনট্যাক্ট প্রডাক্ট,,, ধন্যবাদ দারাজ কে,,,ধন্যবাদ সেলার কে,,,,,,,","product, packaging, seller"
১০০% আসল প্রোডাক্ট। সিলেটের মধ্যে ৮ দিনের মধ্যে ডেলিভারি হয়েছে। বিক্রেতা খুবই সহানুভূতিশীল এবং ভালো ছিলেন। এই প্রোডাক্টটি এই বিক্রেতার কাছ থেকে কেনার জন্য অত্যন্ত সুপারিশ করছি।,"product, delivery, seller"
"সময়মতো প্রোডাক্টটি পেয়েছি, কিন্তু যখন বক্সটি খুললাম, দেখলাম রাবারটি ছিল না (দ্বিতীয় ছবিতে)। পরে বক্সের মধ্যে রাবারটি পেলাম এবং জোড়া লাগালাম। যদিও এটি একটি ভালো প্রোডাক্ট।","product, packaging"
"দারুণ প্যাকেজিং! দারুণ প্রোডাক্ট! দীর্ঘদিন ব্যবহারের পর রিভিউ দিচ্ছি... শুধু একটি ডায়োডের সমস্যা পেয়েছি, একটি ডায়োডের আলো কমে গেছে... বিক্রেতা খুব বন্ধুবৎসল ছিলেন, আমি লাল রঙের অর্ডার করেছিলাম, তিনি ঠিক সেইটাই দিয়েছেন...","packaging, product, seller"
"যেই রকম আসা করেছি ঠিক তেমন পেয়েছি,সেলার কে অনেক অনেক ধন্যবাদ জিনিসটা অনেক সুন্দর করে ডাবল প্যাক করে দেয়ার জন্য,সব কিছু ঠিক ঠাক আছে, অনেক সুন্দর এটা,তবে দারাজ কে বলবো আরো তারাতারি ডেলিভারি দেয়ার চেষ্টা করার জন্য,","product, seller, delivery, packaging"
‌পিকচা‌রে যে রকম আ‌ছে ঠিক সে রকমই পেয়ে‌ছি। এখন কেমন চ‌লে দেখার বিষয়। সাউন্ড ভাল। ত‌বে ঘ‌ড়িটা ২৪ ঘন্টা ফর‌মে‌টে চ‌লে। ১২ ঘন্টার ফর‌মেট নেই। ধন্যবাদ দারাজ ও সেলার‌কে সুন্দর এক‌টি পন্য দেওয়ার জন্য। আলহামদু‌লিল্লাহ।,"product, seller"
অসাধারণ প্রোডাক্ট 🥳🥳🥰,product
"আমি অর্ডার করার পর দুই দিনের মধ্যে পেয়ে গেলাম, আমি আশা করিনি যে আমি আমার চাওয়া এই ধরনের মানসম্মত প্রোডাক্ট পেতে পারব। সেরা প্রোডাক্টটি যুক্তিসংগত মূল্যে সরবরাহ করার জন্য ধন্যবাদ। আমি অবশ্যই আরও অর্ডার করব।","delivery, product, price"
"এই বিক্রেতা সেরা 🥰🥰 ধন্যবাদ, দারাজ 🥰 এত ভালো একটা প্রোডাক্ট দেওয়ার জন্য 🥰🥰","seller, product"
খুব ভালো একটা প্রোডাক্ট। ধন্যবাদ বিক্রেতা ভাই। আর আপনারাও নিতে পারেন যারা নিতে চান। আমি সময়মতো প্রোডাক্টটি হাতে পেয়েছি। ধন্যবাদ দারাজ।,"product, seller, delivery"
"কিছুদিন ব্যবহার করে তারপর রিভিউ দিচ্ছি। প্রোডাক্টটা সত্যিই ভালো এই মূল্যে, আর বিক্রেতাও অনেক ভালো। প্রোডাক্ট এবং প্যাকেজিংও ভালো ছিল।","product, price, seller, packaging"
"প্রিমিয়াম দেখতে প্রোডাক্ট। সাউন্ড কোয়ালিটি খুবই ভালো। আপনি এটি তার/ব্লুটুথের মাধ্যমে আপনার ল্যাপটপের সাথে সংযুক্ত করতে পারেন। ব্যাটারির ব্যাকআপ ভালো। ঘড়িতে শুধুমাত্র ২৪ ঘন্টার ফরম্যাট আছে, তাই কোনো AM/PM নেই। এফএম রেডিওটিও ভালো ছিল। বিক্রেতা খুবই সহায়ক ছিলেন।","product, seller"
"সেলার খুব দ্রুত রেসপন্স করে, আমি কালো কালার দেয়ার জন্য বলায় - কালো কালার ই পেয়েছি। সেলার এর ব্যাবহার যথেষ্ট ভালো।

প্রোডাক্ট টা ভাল প্রিমিয়াম ফিল দেয়। মাত্র আজই হাতে পেলাম, তাই ব্যাবহার করলে আরো ভালো বুঝবো। সাউন্ড ঠিক ঠাক।
তবে আমার কাছে মেজর একটা সমস্যা মনে হলো 24 hour's  টাইম ফরমেট। আমি ১২ টার পর ১ টা দেখে অভ্যস্ত - কিন্তু ১২ টার পর ১৩ টা বাজে!! কেমন যেন লাগে😑
","seller, product"
প্রোডাক্টের মান চমৎকার... প্যাকেজিং একটু উন্নত করা উচিত... প্যাকেজিংয়ে সুরক্ষা কম ছিল... কিন্তু প্রোডাক্টটি অসাধারণ।,"product, packaging"
"আলহামদুলিল্লাহ, প্রোডাক্ট হাতে পেয়েছি ৩ দিনের মধ্যেই। সাউন্ড কোয়ালিটি এবং বিল্ড কোয়ালিটি অসাধারণ, কিন্তু প্যাকেজিং নিয়ে আমি সন্তুষ্ট নই।","delivery, product, packaging"
"এটি একটি চমৎকার প্রোডাক্ট, অবশ্যই সুপারিশ করা হচ্ছে এবং বিক্রেতা বিশ্বস্ত। প্যাকেজিং ভালো ছিল এবং প্রোডাক্টটি সম্পূর্ণ অক্ষত অবস্থায় এসেছে... সাউন্ড একটু কম কিন্তু একটি একক রুমে খেলার জন্য উপযুক্ত... রেটিং ৯/১০।","product, seller, packaging"
আমি এই অ্যালার্ম ঘড়িটি আমার এক বন্ধুকে উপহার দিয়েছি! এবং সে ঘড়িটি পুরোপুরি পছন্দ করেছে ❤️ এত ভালো প্রোডাক্টের জন্য অনেক ধন্যবাদ! ❤️,product
"১০০% সুপারিশ করা হচ্ছে 
ছবির মতোই এবং বর্ণনার মতোই 
ক্লক/অ্যালার্ম/স্পিকার সবই ভালোভাবে কাজ করছে 
সাউন্ড কোয়ালিটি ভালো, চার্জও দীর্ঘস্থায়ী",product
"অসাধারণ একটা প্রোডাক্ট! এতো কম দামে ভালো LED ডেস্ক ক্লক এবং ব্লুটুথ সাউন্ড বার মাইল্ড বেস সহ 😍..... সত্যিই প্রশংসার যোগ্য।
দারাজকে আবার অনেক ধন্যবাদ এতো ভালোভাবে ইন্ট্যাক্ট প্রোডাক্টটি দেওয়ার জন্য।
সেলারকেও অনেক ধন্যবাদ। 😊","product, packaging, seller"
"সেলার  অনেক ধন্যবাদ খুবই ভাল প্যাকেজিং ছিল
সাউন্ড বক্স টাও খুব সুন্দর  প্রিমিয়াম কোয়ালিটির। 
কিন্তু ব্যাটারি ব্যাকআপ একটু কম পাচ্ছি। ","seller, product"
প্রোডাক্ট টি ভালো ছিলো। আমি ভাবছিলাম আরেকটু বড় হবে৷ সবচেয়ে বড় সমস্যা হলো এইটাতে am pm করা যায় না। am pm টা থাকলে অনেক ভালো হতো।,product
"আমি সন্তুষ্ট এটা নিয়ে।
সাউন্ড একদম পরিষ্কার কিন্তু এত লাউড না 
চার্জিং নিয়ে কোন প্যারা নাই চিল 🤘
ধন্যবাদ Daraz কে সুন্দর একটা জিনিস দেওয়ার জন্য 🖤",product
"মূল প্রোডাক্ট, প্রোডাক্টের সুরক্ষা ও ক্ষতি থেকে রক্ষার জন্য ভালো প্যাকেজিং। সময়মতো ডেলিভারি দেওয়ার জন্য ধন্যবাদ, ট্রেন্ডি বাই এবং দারাজ।","product, packaging, seller, delivery"
"ধন্যবাদ দারাজ,, এবং আপনাকেও,, ঠিক যেরকম চেয়েছিলাম ঐরকম পেয়েছি জিনিসটা,,😊 ","product, seller"
আমাকে সেরা প্রোডাক্টটি দেওয়ার জন্য ধন্যবাদ।,product
"এটি একটি ভালো প্রোডাক্ট। ধন্যবাদ, দারাজ।",product
"মূল প্রোডাক্ট 
প্রিমিয়াম মানের",product
